Index,Category,Claim
257,Virus transmission,"Most of the passengers in an Ethiopian airlines flight from Italy are infected with coronavirus.		"
258,Claims about prominent actors,"Schedules for the sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.		"
259,"Vaccines, medical treatments, and tests","Aajtak news channel claims that consuming the herbal plant Tulsi will cure coronavirus.		"
260,Community spread and impact,"People rioting on the streets of London due to economic crisis in the wake of coronavirus outbreak.		"
261,Community spread and impact,"Due to the fear of coronavirus, Muslims in China are offering Namaz in the open street.		"
262,Claims about prominent actors,"Italian PM said that the country has surrendered to the COVID-19 pandemic		"
263,Claims about prominent actors,"Donald Trump said, “People are dying who have never died before”		"
264,"Vaccines, medical treatments, and tests","Vaccines to cure COVID-19 are ready.		"
265,Virus transmission,"Janta curfew or nationwide for 14 hours will break the chain of coronavirus spread and see a reduction of 40% of cases.		"
266,"Public authority actions, policy, and communications","Bombay High Court is extending Maharashtra’s lockdown to April 31.		"
267,Medical advice and self-treatments,"Professor Wong Kin-Chung offers tips to delay the progress of COVID-19: Rinse mouth with cold salty water; drink water and red wine; take Vitamin C; eat chicken soup, shiitake mushrooms, astragalus, codonopsis and ginseng.		"
268,Claims about prominent actors,"News graphic saying Indian prime minister has asked for the internet to be shut down in the country.		"
269,"Vaccines, medical treatments, and tests","Drinking tea can help cure COVID-19.		"
270,Virus origin and properties,"A list of 10 claims about the coronavirus, allegedly from a doctor who worked in a hospital in Shenzhen.		"
271,Community spread and impact,"Coronavirus fears in Germany result in large crowds outside the supermarket.		"
272,Claims about prominent actors,"Rapper Eminem contacted coronavirus.		"
273,Claims about prominent actors,"One can get free masks from the government to fight coronavirus by filling this form in the web link.		"
274,Claims about prominent actors,"Actor Tom Hanks died due to coronavirus.		"
275,Medical advice and self-treatments,"Garlic, onions and other traditional medicine recipes are treatments against the new coronavirus.		"
276,"Vaccines, medical treatments, and tests","Blowing hot air through a hairdryer will cure coronavirus.		"
277,"Public authority actions, policy, and communications","China is supplying the Quran to people to read after the coronavirus outbreak.		"
278,Claims about prominent actors,"Passengers at Delhi airport got agitated Wednesday morning as their passports were withheld by airport authorities.		"
279,"Public authority actions, policy, and communications","Tokyo Olympics logo has been redesigned on the theme of social distancing.		"
280,Community spread and impact,"The viral image is of a doctor couple in Italy who gave their lives treating coronavirus patients.		"
281,Community spread and impact,"Dolphins and swans return to Italy waterways after COVID-19 lockdown.		"
282,Medical advice and self-treatments,"Woman burned her hands while putting on the stove due to high alcohol content in hand sanitizer.		"
283,"Vaccines, medical treatments, and tests","Clapping together at 5 p.m. will create a vibration which will destroy coronavirus.		"
284,Claims about prominent actors,"An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty is going viral on Facebook, Twitter, and WhatsApp.		"
285,Community spread and impact,"Photo of coffins of coronavirus patients who died in a single day in Italy.		"
286,Medical advice and self-treatments,"Hold your breath for 10 seconds to check if you have the coronavirus.		"
287,"Public authority actions, policy, and communications","Ministry of Home Affairs in India has directed people to not post anything related to coronavirus.		"
288,Claims about prominent actors,"Italian PM broke down over coronavirus deaths in his country.		"
289,Claims about prominent actors,"Video of Canadian PM Justin Trudeau’s wife who is suffering from COVID-19.		"
290,"Public authority actions, policy, and communications","Dr. Naresh Trehan has said that the Indian government is going to declare a national emergency.		"
291,"Public authority actions, policy, and communications","Ecuadorean government gives money to people from Venezuela.		"
292,"Public authority actions, policy, and communications","China seeks court’s approval to kill 20,000 coronavirus p;atients.		"
293,Medical advice and self-treatments,"CDC recommends men shave their beards to be protected against the new coronavirus.		"
294,"Vaccines, medical treatments, and tests","Cocaine kills the coronavirus.		"
295,Claims about prominent actors,"Viral claims propagating UNICEF message about coronavirus.		"
296,"Vaccines, medical treatments, and tests","A video says weed kills coronavirus.		"
297,"Public authority actions, policy, and communications","A video viewed thousands of times in Nigeria and shared in multiple Facebook posts claims to show police in Spain rounding up people aged 50 and above to transfer them to quarantine centers amid the novel coronavirus pandemic.		"
298,Claims about prominent actors,"Walmart has adopted staggered shopping days based on age in response to the pandemic.		"
299,"Vaccines, medical treatments, and tests","Cattle vaccine is related to COVID-19, the current panic overblown by media.		"
