,Claim,Keywords
166,A claim has circulated on social media that a  new virus  named hantavirus has emerged in China in March       The posts were viewed hundreds of thousands of times as the world battled the spread of the novel coronavirus  which causes the disease COVID      ,"['claim', 'circulated', 'social', 'medium', 'virus', 'named', 'hantavirus', 'emerged', 'china', 'march', 'post', 'viewed', 'hundred', 'thousand', 'time', 'world', 'battled', 'spread', 'novel', 'coronavirus', 'cause', 'disease', 'covid']"
167,A photo of a group of people holding a banner that bears the Chinese and Malaysian flags has been shared thousands of times on Facebook and Twitter alongside a claim it shows Chinese doctors arriving in Malaysia to combat the novel coronavirus  COVID      ,"['group', 'people', 'holding', 'banner', 'bear', 'chinese', 'malaysian', 'flag', 'shared', 'thousand', 'time', 'facebook', 'twitter', 'alongside', 'claim', 'show', 'chinese', 'doctor', 'arriving', 'malaysia', 'combat', 'novel', 'coronavirus', 'covid']"
168,A post has been shared multiple times on Facebook in March      that claims China and Japan are  free  of the novel coronavirus  which causes the disease COVID      ,"['shared', 'multiple', 'time', 'facebook', 'march', 'claim', 'china', 'japan', 'free', 'novel', 'coronavirus', 'cause', 'disease', 'covid']"
169,People in Italy are throwing money on the road because they are saddened by the fact that all the money in the world could not save their dear ones   ,"['people', 'italy', 'throwing', 'money', 'road', 'saddened', 'fact', 'money', 'world', 'could', 'save', 'dear']"
170,A video has been viewed thousands of times in multiple posts on Facebook which claim it shows bodies of novel coronavirus victims being thrown into a ditch in Italy   ,"['viewed', 'thousand', 'time', 'multiple', 'post', 'facebook', 'claim', 'show', 'body', 'novel', 'coronavirus', 'victim', 'thrown', 'ditch', 'italy']"
171,A claim that a trolley collector at a supermarket in the Australian state of New South Wales tested positive for the novel coronavirus in March      has been shared hundreds of times in multiple posts on Facebook   ,"['claim', 'trolley', 'collector', 'supermarket', 'australian', 'state', 'south', 'wale', 'tested', 'positive', 'novel', 'coronavirus', 'march', 'shared', 'hundred', 'time', 'multiple', 'post', 'facebook']"
172,An image of a doctor goes viral with the claim that Dr  Usman Riyaz died while treating coronavirus patients in Delhi  India   ,"['image', 'doctor', 'viral', 'claim', 'usman', 'riyaz', 'died', 'treating', 'coronavirus', 'patient', 'delhi', 'india']"
173,Russia released     lions to ensure people would stay inside houses   ,"['russia', 'released', 'lion', 'ensure', 'people', 'would', 'stay', 'inside', 'house']"
174,High death rate in Italy is due to people taking Ibuprofen   ,"['high', 'death', 'rate', 'italy', 'people', 'taking', 'ibuprofen']"
175,Italians throwing money on streets amid COVID    crisis   ,"['italian', 'throwing', 'money', 'street', 'amid', 'covid', 'crisis']"
176,Myanmar president and state counselor are under    days quarantine after meeting with a COVID    patient from Switzerland   ,"['myanmar', 'president', 'state', 'counselor', 'quarantine', 'meeting', 'covid', 'patient', 'switzerland']"
177,Last picture of Indonesian Dr  Hadio Alo bidding farewell to his family   ,"['last', 'picture', 'indonesian', 'hadio', 'bidding', 'farewell', 'family']"
178,Former MP Bimal Rathnayake made a comment stating that deceased Muslims from COVID    should be buried as per their customs and not cremated   ,"['former', 'bimal', 'rathnayake', 'made', 'comment', 'stating', 'deceased', 'muslim', 'covid', 'buried', 'custom', 'cremated']"
179,Students in America have to repeat the same grade next year   ,"['student', 'america', 'repeat', 'grade', 'next', 'year']"
180,President Donald Trump will announce that a scientist  finally found a vaccine to cure coronavirus    ,"['president', 'donald', 'trump', 'announce', 'scientist', 'finally', 'found', 'vaccine', 'cure', 'coronavirus']"
181,Video of a waitress saying   I lost my job  But I ll sleep better knowing  that the coronavirus relief bill included funding for the Kennedy Center  refugee resettlement  PBS  and congressional salaries   Thanks  Democrats    ,"['video', 'waitress', 'saying', 'lost', 'sleep', 'better', 'knowing', 'coronavirus', 'relief', 'bill', 'included', 'funding', 'kennedy', 'center', 'refugee', 'resettlement', 'congressional', 'salary', 'thanks', 'democrat']"
182,North Carolina  hospital beds are typically     full across the state    ,"['north', 'carolina', 'hospital', 'typically', 'full', 'across', 'state']"
183,Should you take Ibuprofen to treat a fever from the coronavirus   ,"['should', 'take', 'ibuprofen', 'treat', 'fever', 'coronavirus']"
184, We ve got to give the American public a rough estimate of how long we think this is going to take  based mostly on the South Korean model  which seems to be the trajectory that we are on  thankfully  and not the Italian model    ,"['give', 'american', 'public', 'rough', 'estimate', 'long', 'think', 'going', 'take', 'based', 'mostly', 'south', 'korean', 'model', 'seems', 'trajectory', 'thankfully', 'italian', 'model']"
185,Italian Prime Minister Giuseppe Conte said   We have lost control  we have killed the epidemic physically and mentally  Can t understand what more we can do  all solutions are exhausted on ground  Our only hope remains up in the sky  God  rescue your people    ,"['italian', 'prime', 'minister', 'giuseppe', 'conte', 'said', 'lost', 'control', 'killed', 'epidemic', 'physically', 'mentally', 'understand', 'solution', 'exhausted', 'ground', 'hope', 'remains', 'rescue', 'people']"
186,Ron Johnson said Americans should go back to work  because  death is an unavoidable part of life    ,"['johnson', 'said', 'american', 'back', 'work', 'death', 'unavoidable', 'part', 'life']"
187,People will not be allowed to organize a funeral for any family members who die of COVID     Instead  the state will take care of the disposal of the body   ,"['people', 'allowed', 'organize', 'funeral', 'family', 'member', 'covid', 'instead', 'state', 'take', 'care', 'disposal', 'body']"
188,Doctors and nurses in Italy are dying and are lying dead on the ground due to the coronavirus outbreak   ,"['doctor', 'nurse', 'italy', 'dying', 'lying', 'dead', 'ground', 'coronavirus', 'outbreak']"
189,If you can hold your breath for more than    seconds  you are not infected by coronavirus   ,"['hold', 'breath', 'second', 'infected', 'coronavirus']"
190,Leaving half an onion in your home will  catch  the coronavirus and prevent people from getting it   ,"['leaving', 'half', 'onion', 'home', 'catch', 'coronavirus', 'prevent', 'people', 'getting']"
191,The Irish Prime Minister Taoiseach Leo Varadkar has urged people not to use the Houseparty video messaging app due to security concerns   ,"['irish', 'prime', 'minister', 'taoiseach', 'varadkar', 'urged', 'people', 'houseparty', 'messaging', 'security', 'concern']"
192,In India starting          all grocery  chemists and vegetable shops will be open from      am to       am and      pm to      pm  Anybody found moving around after this or opening any kind of outlet will be detained by the police  No home deliveries will be available   ,"['india', 'starting', 'grocery', 'chemist', 'vegetable', 'shop', 'open', 'anybody', 'found', 'moving', 'around', 'opening', 'kind', 'outlet', 'detained', 'police', 'home', 'delivery', 'available']"
193,Russian government has unleashed lions on the streets to impose a public curfew   ,"['russian', 'government', 'unleashed', 'lion', 'street', 'impose', 'public', 'curfew']"
194,American scientists have developed a cure for the coronavirus   ,"['american', 'scientist', 'developed', 'cure', 'coronavirus']"
195,A video is going viral on WhatsApp and Sharechat claiming that the man and woman in the video are doctors who treated    coronavirus patients and now they both are infected by it   ,"['going', 'viral', 'whatsapp', 'sharechat', 'claiming', 'woman', 'doctor', 'treated', 'coronavirus', 'patient', 'infected']"
196,People in Italy have thrown all of their money on the roads outside saying that this money is useless to save them from death   ,"['people', 'italy', 'thrown', 'money', 'road', 'outside', 'saying', 'money', 'useless', 'save', 'death']"
197,Sri Lanka s KDU hospital will be dedicated to treat only VIP COVID    patients   ,"['lanka', 'hospital', 'dedicated', 'treat', 'covid', 'patient']"
198,Post claiming that a nationwide committee to prevent  control and treat COVID    led by Myanmar state counselor was dissolved   ,"['post', 'claiming', 'nationwide', 'committee', 'prevent', 'control', 'treat', 'covid', 'myanmar', 'state', 'counselor', 'dissolved']"
199,No deaths have been reported in Israel due to COVID    because they have found a cure for the disease  A solution of hot water  baking soda and lemon is the cure for COVID      ,"['death', 'reported', 'israel', 'covid', 'found', 'cure', 'disease', 'solution', 'water', 'baking', 'soda', 'lemon', 'cure', 'covid']"
200,Muslims intentionally licking the cutlery and plates to spread COVID      ,"['muslim', 'intentionally', 'licking', 'cutlery', 'plate', 'spread', 'covid']"
201,A group of Muslim boys licking utensils to spread coronavirus   ,"['group', 'muslim', 'licking', 'utensil', 'spread', 'coronavirus']"
202,A video has been viewed in multiple Facebook posts and claims to show a man wiping his sweat on the buttons of a lift in a residential block in Hong Kong   ,"['viewed', 'multiple', 'facebook', 'post', 'claim', 'show', 'wiping', 'sweat', 'button', 'lift', 'residential', 'block', 'hong', 'kong']"
203,Italians bidding goodbye to the world because of coronavirus   ,"['italian', 'bidding', 'goodbye', 'world', 'coronavirus']"
204,A photo has been shared in multiple posts on Facebook and Twitter alongside a claim it shows the bodies of people who died in Italy after they became infected with the novel coronavirus  COVID      ,"['shared', 'multiple', 'post', 'facebook', 'twitter', 'alongside', 'claim', 'show', 'body', 'people', 'died', 'italy', 'became', 'infected', 'novel', 'coronavirus', 'covid']"
205,Multiple news reports circulating in Nigeria claim that Buckingham Palace has announced Britain s Queen Elizabeth tested positive for COVID      ,"['multiple', 'news', 'report', 'circulating', 'nigeria', 'claim', 'buckingham', 'palace', 'announced', 'britain', 'queen', 'elizabeth', 'tested', 'positive', 'covid']"
206,Boil weed and ginger for COVID    victims  and the virus will vanish   ,"['boil', 'weed', 'ginger', 'covid', 'victim', 'virus', 'vanish']"
207,People in Italy are threw away their money after they lost their family members to coronavirus   ,"['people', 'italy', 'threw', 'away', 'money', 'lost', 'family', 'member', 'coronavirus']"
208,The Coronavirus Aid  Relief  and Economic Security Act gives members of Congress a pay increase   ,"['coronavirus', 'relief', 'economic', 'security', 'give', 'member', 'congress', 'increase']"
209,The lockdown due to coronavirus has led to the reemergence of a large flock of birds at the riverfront in Ahmedabad   ,"['lockdown', 'coronavirus', 'reemergence', 'large', 'flock', 'bird', 'riverfront', 'ahmedabad']"
210,Two audio clips stating that the Mumbai police commissioner is going to enforce strict actions during the    day lockdown in India and that there will be a spike in cases after March            ,"['clip', 'stating', 'mumbai', 'police', 'commissioner', 'going', 'enforce', 'strict', 'action', 'lockdown', 'india', 'spike', 'case', 'march']"
211,India has decided to extend its financial year to July   due to the current COVID    outbreak   ,"['india', 'decided', 'extend', 'financial', 'year', 'july', 'current', 'covid', 'outbreak']"
212,A claim on Facebook that began to circulate around Wednesday           says putting a peeled onion in any room can remove  all viruses and bacteria including coronavirus    ,"['claim', 'facebook', 'began', 'circulate', 'around', 'wednesday', 'putting', 'peeled', 'onion', 'room', 'remove', 'virus', 'bacteria', 'including', 'coronavirus']"
213,WhatsApp group admins were detained for sharing coronavirus messages in Dadar  Mumbai   ,"['whatsapp', 'group', 'admins', 'detained', 'sharing', 'coronavirus', 'message', 'dadar', 'mumbai']"
